date,P02,P04,P07,P09,P10,P11,P12,P13,P14,P15,P16,C01,P03,P20
2011-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.68437500000002,0.0,0.0
2011-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.35191637630663,0.0,0.0
2011-02-08,0.0,0.0,0.0,0.0,0.30000000000000004,0.1,0.1,0.1,0.0,0.0,0.0,244.57083333333333,0.0,0.0
2011-02-09,0.0,0.0,0.30000000000000004,0.0,0.0,0.6000000000000001,0.0,0.30000000000000004,0.0,0.0,0.0,245.66944444444445,0.0,0.0
2011-02-10,4.4,3.7,4.9,4.3,5.4,5.3,5.0,5.7,4.2,0.0,0.0,294.6430555555555,4.3,4.7
2011-02-11,8.200000000000001,6.6000000000000005,8.3,4.6000000000000005,7.2,8.3,7.300000000000001,7.800000000000001,7.800000000000001,0.0,0.0,394.1590277777778,7.2,6.9
2011-02-12,0.0,0.1,0.4,0.1,0.1,0.6000000000000001,0.5,0.6000000000000001,0.2,0.0,0.0,257.1156794425087,0.2,0.0
2011-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.1517361111111,0.0,0.0
2011-02-14,0.9,0.4,1.0,0.7000000000000001,0.7000000000000001,0.8,0.9,0.4,0.6000000000000001,0.0,0.0,250.78368055555555,0.4,0.8
2011-02-15,1.0,0.2,0.8,0.7000000000000001,0.30000000000000004,0.6000000000000001,0.30000000000000004,0.8,0.5,0.0,0.0,249.81631944444447,0.30000000000000004,0.5
2011-02-16,0.30000000000000004,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.22465277777778,0.0,0.0
2011-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.2766550522648,0.0,0.30000000000000004
2011-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.30034722222223,0.0,0.0
2011-02-19,2.1,0.9,2.3000000000000003,4.3,1.9000000000000001,2.4000000000000004,1.5,4.2,2.5,0.0,0.0,258.00069444444443,1.2000000000000002,1.5
2011-02-20,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,256.11805555555554,0.0,0.0
2011-02-21,0.0,0.1,0.0,0.5,0.1,0.2,0.2,0.0,0.2,0.0,0.0,244.3381944444444,0.0,0.0
2011-02-22,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.64216027874565,0.0,0.0
2011-02-23,3.3000000000000003,1.3,4.6000000000000005,3.6,4.1000000000000005,3.0,1.9000000000000001,3.1,2.6,0.0,0.0,265.28715277777775,1.7000000000000002,4.9
2011-02-24,3.7,2.3000000000000003,5.2,4.300000000000001,4.0,4.8,3.1,4.2,3.5,0.0,0.0,327.5986111111111,2.8000000000000003,5.0
2011-02-25,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.1,0.0,0.0,244.66354166666667,0.0,0.1
2011-02-26,5.2,4.1,5.2,5.2,6.5,6.4,6.5,6.0,5.3,0.0,0.0,329.9506944444445,4.8,5.7
2011-02-27,0.0,0.0,0.1,0.1,0.0,0.3,0.0,0.0,0.1,0.0,0.0,257.13658536585365,0.0,0.1
2011-02-28,0.9,1.4000000000000001,0.7000000000000001,0.5,0.7000000000000001,0.6000000000000001,1.3,0.1,0.5,0.0,0.0,260.00868055555554,1.1,0.4
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785.0,0.0,240.60347222222222,0.0,0.0
2011-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.90937499999998,0.0,0.0
2011-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,237.31180555555557,0.0,0.0
2011-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.62604166666668,0.0,0.0
2011-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.2850174216028,0.0,0.0
2011-03-06,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.94444444444446,0.0,0.0
2011-03-07,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.7579861111111,0.0,0.0
2011-03-08,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,237.28715277777778,0.1,0.30000000000000004
